id,name
1,African
2,American
3,Asian
4,Australian
5,Austrian
6,Bar
7,Barbecue
8,Belgian
9,Brazilian
10,Brew Pub
11,British
12,Burmese
13,Cafe
14,Cajun & Creole
15,Cambodian
16,Canadian
17,Caribbean
18,Caucasian
19,Central American
20,Central European
21,Chinese
22,Contemporary
23,Delicatessen
24,Diner
25,Eastern European
26,Egyptian
27,European
28,Fast food
29,French
30,Fusion
31,Gastropub
32,German
33,Gluten Free Options
34,Greek
35,Grill
36,Halal
37,Hawaiian
38,Healthy
39,Indian
40,Indonesian
41,International
42,Irish
43,Italian
44,Jamaican
45,Japanese
46,Korean
47,Kosher
48,Latin
49,Lebanese
50,Malaysian
51,Mediterranean
52,Mexican
53,Middle Eastern
54,Minority Chinese
55,Moroccan
56,Nepalese
57,New Zealand
58,Norwegian
59,Pakistani
60,Persian
61,Philippine
62,Pizza
63,Portuguese
64,Pub
65,Scandinavian
66,Seafood
67,Singaporean
68,Soups
69,South American
70,Southwestern
71,Spanish
72,Steakhouse
73,Street Food
74,Sushi
75,Swedish
76,Swiss
77,Taiwanese
78,Thai
79,Turkish
80,Vegan Options
81,Vegetarian Friendly
82,Vietnamese
83,Wine Bar
84,Xinjiang
